article_id,author,category,is_read,link,pub_date,title
AKR20260522110600008,"김유아",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522110600008,1779431963000,"코스피, 0.41% 오른 7,847로 마감…코스닥 4.99% 급등"
AKR20260522111000002,"경제부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522111000002,1779431720000,"외국환시세(5월22일·마감가)"
AKR20260522109700002,"경제부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522109700002,1779431445000,"[외환] 원/달러 환율 11.1원 오른 1,517.2원(15:30 종가)"
AKR20260522108300051,"민영규",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522108300051,1779431348000,"부산은행, 국민참여성장펀드 100억원 판매 첫날 완판"
AKR20260522108000003,"임성호",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522108000003,1779431031000,"최태원, 유엔개발계획 총재 면담…개발협력 민간역할 확대 논의"
AKR20260522106000008,"이민영",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522106000008,1779430480000,"[부고] 박경대(한화투자증권 커뮤니케이션팀장)씨 부친상"
AKR20260522105800053,"한무선",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522105800053,1779430428000,"iM뱅크, 김창준한미연구원과 '지역기업 미국 진출 지원' 협약"
AKR20260522105000008,"증권부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522105000008,1779430349000,"지구홀딩스 ""탠덤스튜디오 주식 16억원어치 취득…지분율 5%"""
AKR20260522104600008,"고은지",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522104600008,1779430032000,"'스페이스X의 힘?' 미래운용 美우주테크 ETF 순자산 1조원 넘어"
AKR20260522099100062,"이상학",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522099100062,1779429900000,"강원 소비심리지수 큰 폭 반등…경기전망 회복세 기대"
AKR20260522063651002,"한주홍",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522063651002,1779429881000,"농가소득 5천467만원 '역대 최대'…어가소득은 김값 하락에 감소(종합)"
AKR20260522101600003,"오진송",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522101600003,1779429685000,"29일부터 토지거래허가 주택거래시 실거주 의무 유예 확대"
AKR20260522035500030,"이상서",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522035500030,1779429605000,"중기중앙회, 中企 정보보안 세미나 개최…""해킹 대응 역량 강화"""
AKR20260524032900017,"김주환",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260524032900017,1779606552000,"스타크래프트 대회 나타난 이세돌…""오랜 스타리그 팬"""
AKR20260524029400017,"김주환",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260524029400017,1779603492000,"[가보니] 식지 않은 스타크래프트 인기…ASL 21 결승전 '후끈'"
AKR20260522136100063,"김준호",SOCIETY,0,https://www.yna.co.kr/view/AKR20260522136100063,1779591604000,"""AI와 먼저 상담""…정신과 초진 면담 지원 기술 나왔다"
AKR20260524014400004,"김동규",SOCIETY,0,https://www.yna.co.kr/view/AKR20260524014400004,1779588900000,"서울시, 정보화사업 21단계 절차 안내하는 AI비서 '잇비' 도입"
AKR20260524012200003,"강태우",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260524012200003,1779584401000,"삼성전자로지텍, 상업용 시스템에어컨 세척 프로모션"
AKR20260524013100003,"강태우",SOCIETY,0,https://www.yna.co.kr/view/AKR20260524013100003,1779584400000,"LG, 다문화 청소년 '중등 몰입캠프'…글로벌 인재 육성"
AKR20260524015100371,"정아란",SOCIETY,0,https://www.yna.co.kr/view/AKR20260524015100371,1779583667000,"초록우산-로날드맥도날드하우스, '중증 환아 쉼터' 운영 협력"
AKR20260524014800003,"홍규빈",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260524014800003,1779583591000,"현대차, 칸영화제 초청작 '호프'에 클래식 모델 스텔라 후원"
AKR20260523030000017,"박상현",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260523030000017,1779582601000,"[AI위클리] '피지컬 AI 시대' 임박…국가 차원 보안대책 요구도"
